TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Perguntar da DP,,,,,,"Wed, Jan 11, 6:00 PM",en,
task,Wash litter box,,,,,,"Sat, Jan 14, 7:00 AM",en,
task,Wash thrash bin,,,,,,"Sat, Jan 14, 7:00 AM",en,
task,Yoga,,,,,,"Sat, Jan 14, 7:30 AM",en,
task,Clean desk,,,,,,"Sat, Jan 14, 8:30 AM",en,
task,Tighten phone screws,,,,,,"Sat, Jan 14, 8:30 AM",en,
task,Charge clippers & Clean,,,,,,"Sat, Jan 14, 8:30 AM",en,
task,Wash bathroom,,,,,,"Sat, Jan 14, 8:30 AM",en,
task,Feed pets,,,,,,"Sat, Jan 14, 12:00 PM",en,
task,Wash pets bowls,,,,,,"Sat, Jan 14, 12:00 PM",en,
task,Put clothes away,,,,,,"Sat, Jan 14, 12:00 PM",en,
task,Brush Algodão 's teeth,,,,,,"Sat, Jan 14, 12:00 PM",en,
task,Dinner,,,,,,"Sat, Jan 14, 6:15 PM",en,
task,Take Algodão for a walk,,,,,,"Sat, Jan 14, 6:30 PM",en,
task,Clean litter box,,,,,,"Sat, Jan 14, 6:30 PM",en,
task,Do the dishes,,,,,,"Sat, Jan 14, 6:30 PM",en,
task,Grocery shopping,,,,,,"Sat, Jan 14, 6:30 PM",en,
task,Shower,,,,,,"Sat, Jan 14, 6:45 PM",en,
task,Skincare,,,,,,"Sat, Jan 14, 7:00 PM",en,
task,Work on projects,,,,,,"Sat, Jan 14, 7:30 PM",en,
task,Feed pets,,,,,,"Sat, Jan 14, 9:30 PM",en,
task,Brush teeth,,,,,,"Sat, Jan 14, 9:30 PM",en,
task,Petpex Pix & take shampoo,,,,,,"Tue, Jan 17, 3:00 PM",en,
task,Nubank credit card bill,,,,,,"Fri, Jan 20, 1:00 PM",en,
task,Book skin cleansing,,,,,,"Sat, Jan 21, 8:30 AM",en,
task,HPV Vaccine,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Cancel Amazon Music,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Pay Yoga - 14,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Pay Netflix,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Electricity bill,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Claro bill (autopay),,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Casas Bahia credit card bill,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,C6 credit card bill (autopay),,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Ame credit card bill,,,,,,"Fri, Jan 27, 12:45 PM",en,
task,Skin cleansing,,,,,,"Sat, Jan 28, 6:30 PM",en,
task,Instagram post,,,,,,"Wed, Feb 1, 12:45 PM",en,
task,Book barber,,,,,,"Sat, Feb 4, 8:30 AM",en,
task,Water terrarium,,,,,,"Sat, Feb 4, 12:45 PM",en,
task,Cut Algodão's hair,,,,,,"Sun, Feb 5, 6:00 PM",en,
